Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-07-06,227.95,241.64,227.1,241.56,9452589,USD,Investing.com,ETHEREUM
2020-07-07,241.56,243.43,234.92,239.25,6261172,USD,Investing.com,ETHEREUM
2020-07-08,239.26,248.76,238.0,246.99,12976175,USD,Investing.com,ETHEREUM
2020-07-09,246.93,247.63,238.28,242.02,9016772,USD,Investing.com,ETHEREUM
2020-07-10,242.01,242.17,236.19,241.26,6837318,USD,Investing.com,ETHEREUM
2020-07-11,241.21,241.64,237.76,239.2,6423250,USD,Investing.com,ETHEREUM
2020-07-12,239.2,243.79,236.91,242.75,6808834,USD,Investing.com,ETHEREUM
2020-07-13,242.84,245.04,237.71,239.73,8322678,USD,Investing.com,ETHEREUM
2020-07-14,239.75,242.08,237.21,240.5,7069377,USD,Investing.com,ETHEREUM
2020-07-15,240.49,241.36,237.04,238.62,7346094,USD,Investing.com,ETHEREUM
2020-07-16,238.62,239.47,230.44,233.65,6625183,USD,Investing.com,ETHEREUM
2020-07-17,233.65,234.53,231.84,232.75,5878520,USD,Investing.com,ETHEREUM
2020-07-18,232.77,236.83,232.4,235.75,5786473,USD,Investing.com,ETHEREUM
2020-07-19,235.72,239.7,233.35,239.01,6611449,USD,Investing.com,ETHEREUM
2020-07-20,239.03,239.71,234.51,236.1,5360281,USD,Investing.com,ETHEREUM
2020-07-21,236.1,246.49,235.67,245.53,6286317,USD,Investing.com,ETHEREUM
2020-07-22,245.54,266.42,241.89,263.28,6679453,USD,Investing.com,ETHEREUM
2020-07-23,263.29,279.53,260.7,275.34,8793487,USD,Investing.com,ETHEREUM
2020-07-24,275.33,287.01,268.54,279.33,7169207,USD,Investing.com,ETHEREUM
2020-07-25,279.33,308.57,279.33,305.32,8594767,USD,Investing.com,ETHEREUM
2020-07-26,305.32,318.54,300.33,311.13,9194982,USD,Investing.com,ETHEREUM
2020-07-27,311.12,332.57,311.04,321.8,13729046,USD,Investing.com,ETHEREUM
2020-07-28,321.82,326.53,306.4,316.96,9905746,USD,Investing.com,ETHEREUM
2020-07-29,316.95,324.93,312.64,317.82,8721293,USD,Investing.com,ETHEREUM
2020-07-30,317.79,341.11,314.83,334.87,9069245,USD,Investing.com,ETHEREUM
2020-07-31,334.84,349.34,329.02,346.51,8689356,USD,Investing.com,ETHEREUM
2020-08-01,346.48,392.37,343.33,387.14,11028663,USD,Investing.com,ETHEREUM
2020-08-02,387.15,415.08,335.76,372.08,16375385,USD,Investing.com,ETHEREUM
2020-08-03,372.26,397.73,368.46,385.8,9924831,USD,Investing.com,ETHEREUM
2020-08-04,385.86,402.01,381.3,389.62,9840204,USD,Investing.com,ETHEREUM
2020-08-05,389.62,406.92,384.84,400.79,8742431,USD,Investing.com,ETHEREUM
2020-08-06,400.8,403.18,391.67,394.83,7919677,USD,Investing.com,ETHEREUM
2020-08-07,394.8,398.14,366.44,379.57,8342854,USD,Investing.com,ETHEREUM
2020-08-08,379.57,396.77,376.38,396.76,4942302,USD,Investing.com,ETHEREUM
2020-08-09,396.78,399.93,384.31,390.23,4969254,USD,Investing.com,ETHEREUM
2020-08-10,390.22,399.05,386.45,395.53,8009004,USD,Investing.com,ETHEREUM
2020-08-11,395.52,398.13,367.38,379.01,9436475,USD,Investing.com,ETHEREUM
2020-08-12,379.03,389.21,367.05,387.12,8587354,USD,Investing.com,ETHEREUM
2020-08-13,387.15,430.33,377.57,424.31,12040059,USD,Investing.com,ETHEREUM
2020-08-14,424.28,443.74,418.37,438.03,8670962,USD,Investing.com,ETHEREUM
2020-08-15,438.04,442.7,428.75,432.18,7274350,USD,Investing.com,ETHEREUM
2020-08-16,432.22,436.58,413.22,433.63,7015016,USD,Investing.com,ETHEREUM
2020-08-17,433.62,444.86,420.71,430.56,7828093,USD,Investing.com,ETHEREUM
2020-08-18,430.63,433.65,415.45,422.16,8182539,USD,Investing.com,ETHEREUM
2020-08-19,422.1,426.65,394.51,407.44,8443071,USD,Investing.com,ETHEREUM
2020-08-20,407.39,418.92,402.8,416.05,6227504,USD,Investing.com,ETHEREUM
2020-08-21,416.05,418.72,385.21,387.99,7616900,USD,Investing.com,ETHEREUM
2020-08-22,388.06,396.87,379.96,395.56,6733465,USD,Investing.com,ETHEREUM
2020-08-23,395.56,396.96,383.42,390.5,5356709,USD,Investing.com,ETHEREUM
2020-08-24,390.81,410.17,387.62,407.7,6688812,USD,Investing.com,ETHEREUM
2020-08-25,407.64,409.02,370.4,383.2,8277664,USD,Investing.com,ETHEREUM
2020-08-26,383.16,392.61,377.63,385.96,6693902,USD,Investing.com,ETHEREUM
2020-08-27,385.96,396.48,372.53,383.11,7031983,USD,Investing.com,ETHEREUM
2020-08-28,383.16,397.64,379.8,395.11,6159794,USD,Investing.com,ETHEREUM
2020-08-29,395.32,405.53,391.97,398.8,5232710,USD,Investing.com,ETHEREUM
2020-08-30,398.8,429.59,398.47,428.86,6666730,USD,Investing.com,ETHEREUM
2020-08-31,428.81,438.71,418.35,433.9,7887926,USD,Investing.com,ETHEREUM
2020-09-01,433.89,488.24,429.65,475.8,10417601,USD,Investing.com,ETHEREUM
2020-09-02,475.72,480.96,423.26,439.08,30142438,USD,Investing.com,ETHEREUM
2020-09-03,439.14,466.4,376.99,381.97,33587816,USD,Investing.com,ETHEREUM
2020-09-04,381.97,399.58,368.22,385.94,25200712,USD,Investing.com,ETHEREUM
2020-09-05,385.94,394.12,314.13,334.91,35323428,USD,Investing.com,ETHEREUM
2020-09-06,334.91,358.09,316.69,353.49,20126942,USD,Investing.com,ETHEREUM
2020-09-07,353.49,357.33,325.47,352.06,21693412,USD,Investing.com,ETHEREUM
2020-09-08,352.06,355.69,326.66,337.46,18977708,USD,Investing.com,ETHEREUM
2020-09-09,337.46,358.33,331.12,351.1,14073361,USD,Investing.com,ETHEREUM
2020-09-10,351.1,376.92,350.86,367.92,16499568,USD,Investing.com,ETHEREUM
2020-09-11,367.89,374.41,356.38,373.72,12534016,USD,Investing.com,ETHEREUM
2020-09-12,373.74,388.12,366.05,387.98,11492922,USD,Investing.com,ETHEREUM
2020-09-13,388.06,389.51,353.85,365.71,10384353,USD,Investing.com,ETHEREUM
2020-09-14,365.89,383.99,357.54,376.7,10344507,USD,Investing.com,ETHEREUM
2020-09-15,376.7,381.67,362.4,364.01,9057345,USD,Investing.com,ETHEREUM
2020-09-16,363.91,372.88,355.18,364.88,9063983,USD,Investing.com,ETHEREUM
2020-09-17,364.75,393.96,363.54,388.97,12848922,USD,Investing.com,ETHEREUM
2020-09-18,389.37,392.21,375.81,384.2,8948677,USD,Investing.com,ETHEREUM
2020-09-19,384.25,386.99,377.63,385.25,6744663,USD,Investing.com,ETHEREUM
2020-09-20,385.33,385.39,365.48,371.12,7303446,USD,Investing.com,ETHEREUM
2020-09-21,371.09,375.34,331.41,341.3,11408798,USD,Investing.com,ETHEREUM
2020-09-22,341.32,346.19,336.15,344.03,9292788,USD,Investing.com,ETHEREUM
2020-09-23,343.96,344.12,315.54,319.95,13875768,USD,Investing.com,ETHEREUM
2020-09-24,319.97,352.6,317.27,349.17,9397916,USD,Investing.com,ETHEREUM
2020-09-25,349.13,357.8,338.01,351.63,8474165,USD,Investing.com,ETHEREUM
2020-09-26,351.62,355.87,346.95,354.25,6478060,USD,Investing.com,ETHEREUM
2020-09-27,354.26,362.0,347.51,357.23,6351072,USD,Investing.com,ETHEREUM
2020-09-28,357.42,367.63,352.57,354.08,7768969,USD,Investing.com,ETHEREUM
2020-09-29,353.97,360.66,351.48,359.86,6262767,USD,Investing.com,ETHEREUM
2020-09-30,359.77,360.94,352.81,359.39,5430575,USD,Investing.com,ETHEREUM
2020-10-01,359.5,369.1,345.66,353.07,7925993,USD,Investing.com,ETHEREUM
2020-10-02,353.06,353.61,335.91,345.68,7265426,USD,Investing.com,ETHEREUM
2020-10-03,345.78,351.04,343.74,345.6,4480669,USD,Investing.com,ETHEREUM
2020-10-04,345.6,353.97,344.03,352.73,4772239,USD,Investing.com,ETHEREUM
2020-10-05,352.69,354.86,348.76,353.28,4959372,USD,Investing.com,ETHEREUM
2020-10-06,353.53,354.9,337.21,340.61,7324963,USD,Investing.com,ETHEREUM
2020-10-07,340.59,342.68,334.11,341.48,5774390,USD,Investing.com,ETHEREUM
2020-10-08,341.66,352.95,334.79,350.83,6851512,USD,Investing.com,ETHEREUM
2020-10-09,350.71,368.19,347.82,365.28,7848645,USD,Investing.com,ETHEREUM
